Categorii de terenuri si specii de paduri, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii hectare, Valoare
Alte terenuri, Bacau, Anul 2000, Mii hectare, 4.7
Alte terenuri, Bacau, Anul 2001, Mii hectare, 4.9
Alte terenuri, Bacau, Anul 2002, Mii hectare, 4.5
Alte terenuri, Bacau, Anul 2003, Mii hectare, 3.7
Alte terenuri, Bacau, Anul 2004, Mii hectare, 4.6
Alte terenuri, Bacau, Anul 2005, Mii hectare, 5
Alte terenuri, Bacau, Anul 2006, Mii hectare, 4.8
Alte terenuri, Bacau, Anul 2007, Mii hectare, 5.9
Alte terenuri, Bacau, Anul 2008, Mii hectare, 5.2
Alte terenuri, Bacau, Anul 2009, Mii hectare, 5.8
Alte terenuri, Bacau, Anul 2010, Mii hectare, 5.5
Alte terenuri, Bacau, Anul 2011, Mii hectare, 5.5
Alte terenuri, Bacau, Anul 2012, Mii hectare, 5.1
Alte terenuri, Bacau, Anul 2013, Mii hectare, 4.9
Alte terenuri, Bacau, Anul 2014, Mii hectare, 5.1
Alte terenuri, Bacau, Anul 2015, Mii hectare, 5.1
Alte terenuri, Bacau, Anul 2016, Mii hectare, 5.2
Alte terenuri, Bacau, Anul 2017, Mii hectare, 5.2
Alte terenuri, Bacau, Anul 2018, Mii hectare, 5.3
Alte terenuri, Bacau, Anul 2019, Mii hectare, 5.4
Alte terenuri, Botosani, Anul 1990, Mii hectare, 1
Alte terenuri, Botosani, Anul 1991, Mii hectare, .9
Alte terenuri, Botosani, Anul 1992, Mii hectare, 1
Alte terenuri, Botosani, Anul 1993, Mii hectare, 1.1
Alte terenuri, Botosani, Anul 1994, Mii hectare, 1.3
Alte terenuri, Botosani, Anul 1995, Mii hectare, 1.4
Alte terenuri, Botosani, Anul 1996, Mii hectare, 1.5
Alte terenuri, Botosani, Anul 1997, Mii hectare, 1.4
Alte terenuri, Botosani, Anul 1998, Mii hectare, 1.3
Alte terenuri, Botosani, Anul 1999, Mii hectare, 1.4
Alte terenuri, Botosani, Anul 2000, Mii hectare, 1.4
Alte terenuri, Botosani, Anul 2001, Mii hectare, 1.6
Alte terenuri, Botosani, Anul 2002, Mii hectare, 1.6
Alte terenuri, Botosani, Anul 2003, Mii hectare, 1.5
Alte terenuri, Botosani, Anul 2004, Mii hectare, 1.3
Alte terenuri, Botosani, Anul 2005, Mii hectare, 1.4
Alte terenuri, Botosani, Anul 2006, Mii hectare, 1.5
Alte terenuri, Botosani, Anul 2007, Mii hectare, 1.7
Alte terenuri, Botosani, Anul 2008, Mii hectare, 1.5
Alte terenuri, Botosani, Anul 2009, Mii hectare, 1.5
Alte terenuri, Botosani, Anul 2010, Mii hectare, 1.4
Alte terenuri, Botosani, Anul 2011, Mii hectare, 1.2
Alte terenuri, Botosani, Anul 2012, Mii hectare, 1.3
Alte terenuri, Botosani, Anul 2013, Mii hectare, 1.4
Alte terenuri, Botosani, Anul 2014, Mii hectare, 1.3
Alte terenuri, Botosani, Anul 2015, Mii hectare, 1.3
Alte terenuri, Botosani, Anul 2016, Mii hectare, 1.2
Alte terenuri, Botosani, Anul 2017, Mii hectare, 1.1
Alte terenuri, Botosani, Anul 2018, Mii hectare, 1.1
Alte terenuri, Botosani, Anul 2019, Mii hectare, 1.1
Alte terenuri, Iasi, Anul 1990, Mii hectare, 2.2
Alte terenuri, Iasi, Anul 1991, Mii hectare, 1.7
Alte terenuri, Iasi, Anul 1992, Mii hectare, 1.8
Alte terenuri, Iasi, Anul 1993, Mii hectare, 1.6
Alte terenuri, Iasi, Anul 1994, Mii hectare, 1.9
Alte terenuri, Iasi, Anul 1995, Mii hectare, 1.7
Alte terenuri, Iasi, Anul 1996, Mii hectare, 1.7
Alte terenuri, Iasi, Anul 1997, Mii hectare, 2.2
Alte terenuri, Iasi, Anul 1998, Mii hectare, 2.5
Alte terenuri, Iasi, Anul 1999, Mii hectare, 2.8
Alte terenuri, Iasi, Anul 2000, Mii hectare, 2.8
Alte terenuri, Iasi, Anul 2001, Mii hectare, 2.9
Alte terenuri, Iasi, Anul 2002, Mii hectare, 3
Alte terenuri, Iasi, Anul 2003, Mii hectare, 2.9
Alte terenuri, Iasi, Anul 2004, Mii hectare, 2.8
Alte terenuri, Iasi, Anul 2005, Mii hectare, 2.7
Alte terenuri, Iasi, Anul 2006, Mii hectare, 2.5
Alte terenuri, Iasi, Anul 2007, Mii hectare, 2.5
Alte terenuri, Iasi, Anul 2008, Mii hectare, 2.2
Alte terenuri, Iasi, Anul 2009, Mii hectare, 2.4
Alte terenuri, Iasi, Anul 2010, Mii hectare, 2.4
Alte terenuri, Iasi, Anul 2011, Mii hectare, 2.5
Alte terenuri, Iasi, Anul 2012, Mii hectare, 2.5
Alte terenuri, Iasi, Anul 2013, Mii hectare, 2.7
Alte terenuri, Iasi, Anul 2014, Mii hectare, 3
Alte terenuri, Iasi, Anul 2015, Mii hectare, 3
Alte terenuri, Iasi, Anul 2016, Mii hectare, 3
Alte terenuri, Iasi, Anul 2017, Mii hectare, 2.8
Alte terenuri, Iasi, Anul 2018, Mii hectare, 2.9
Alte terenuri, Iasi, Anul 2019, Mii hectare, 3
Alte terenuri, Neamt, Anul 1990, Mii hectare, 3.7
Alte terenuri, Neamt, Anul 1991, Mii hectare, 3.4
Alte terenuri, Neamt, Anul 1992, Mii hectare, 3.1
Alte terenuri, Neamt, Anul 1993, Mii hectare, 3.3
Alte terenuri, Neamt, Anul 1994, Mii hectare, 3.1
Alte terenuri, Neamt, Anul 1995, Mii hectare, 3.3
Alte terenuri, Neamt, Anul 1996, Mii hectare, 3.2
Alte terenuri, Neamt, Anul 1997, Mii hectare, 3.2
Alte terenuri, Neamt, Anul 1998, Mii hectare, 3.4
Alte terenuri, Neamt, Anul 1999, Mii hectare, 3.6
Alte terenuri, Neamt, Anul 2000, Mii hectare, 3.8
Alte terenuri, Neamt, Anul 2001, Mii hectare, 4.1
Alte terenuri, Neamt, Anul 2002, Mii hectare, 3.5
Alte terenuri, Neamt, Anul 2003, Mii hectare, 3.4
Alte terenuri, Neamt, Anul 2004, Mii hectare, 5.4
Alte terenuri, Neamt, Anul 2005, Mii hectare, 4.9
Alte terenuri, Neamt, Anul 2006, Mii hectare, 4.6
Alte terenuri, Neamt, Anul 2007, Mii hectare, 4.9
Alte terenuri, Neamt, Anul 2008, Mii hectare, 5.9
Alte terenuri, Neamt, Anul 2009, Mii hectare, 5
Alte terenuri, Neamt, Anul 2010, Mii hectare, 5.2
Alte terenuri, Neamt, Anul 2011, Mii hectare, 5.1
Alte terenuri, Neamt, Anul 2012, Mii hectare, 4.9
Alte terenuri, Neamt, Anul 2013, Mii hectare, 5.1
Alte terenuri, Neamt, Anul 2014, Mii hectare, 4.6
Alte terenuri, Neamt, Anul 2015, Mii hectare, 4.7
Alte terenuri, Neamt, Anul 2016, Mii hectare, 4.7
Alte terenuri, Neamt, Anul 2017, Mii hectare, 4.7
Alte terenuri, Neamt, Anul 2018, Mii hectare, 4.5
Alte terenuri, Neamt, Anul 2019, Mii hectare, 4.6
Alte terenuri, Suceava, Anul 1990, Mii hectare, 7.9
Alte terenuri, Suceava, Anul 1991, Mii hectare, 7.3
Alte terenuri, Suceava, Anul 1992, Mii hectare, 7.3
Alte terenuri, Suceava, Anul 1993, Mii hectare, 7.1
Alte terenuri, Suceava, Anul 1994, Mii hectare, 6.8
Alte terenuri, Suceava, Anul 1995, Mii hectare, 6.9
Alte terenuri, Suceava, Anul 1996, Mii hectare, 6.8
Alte terenuri, Suceava, Anul 1997, Mii hectare, 6.9
Alte terenuri, Suceava, Anul 1998, Mii hectare, 7.1
Alte terenuri, Suceava, Anul 1999, Mii hectare, 9.8
Alte terenuri, Suceava, Anul 2000, Mii hectare, 10.6
Alte terenuri, Suceava, Anul 2001, Mii hectare, 10.4
Alte terenuri, Suceava, Anul 2002, Mii hectare, 11.5
Alte terenuri, Suceava, Anul 2003, Mii hectare, 13.4
Alte terenuri, Suceava, Anul 2004, Mii hectare, 15.6
Alte terenuri, Suceava, Anul 2005, Mii hectare, 14.2
Alte terenuri, Suceava, Anul 2006, Mii hectare, 13.8
Alte terenuri, Suceava, Anul 2007, Mii hectare, 13.7
Alte terenuri, Suceava, Anul 2008, Mii hectare, 14.4
Alte terenuri, Suceava, Anul 2009, Mii hectare, 14.8
Alte terenuri, Suceava, Anul 2010, Mii hectare, 14.7
Alte terenuri, Suceava, Anul 2011, Mii hectare, 14.4
Alte terenuri, Suceava, Anul 2012, Mii hectare, 14.4
Alte terenuri, Suceava, Anul 2013, Mii hectare, 14.1
Alte terenuri, Suceava, Anul 2014, Mii hectare, 14.3
Alte terenuri, Suceava, Anul 2015, Mii hectare, 14.4
Alte terenuri, Suceava, Anul 2016, Mii hectare, 13
Alte terenuri, Suceava, Anul 2017, Mii hectare, 12.8
Alte terenuri, Suceava, Anul 2018, Mii hectare, 12.6
Alte terenuri, Suceava, Anul 2019, Mii hectare, 12.6
Alte terenuri, Vaslui, Anul 1990, Mii hectare, 1
Alte terenuri, Vaslui, Anul 1991, Mii hectare, 1.1
Alte terenuri, Vaslui, Anul 1992, Mii hectare, 1.2
Alte terenuri, Vaslui, Anul 1993, Mii hectare, 1.2
Alte terenuri, Vaslui, Anul 1994, Mii hectare, 1.3
Alte terenuri, Vaslui, Anul 1995, Mii hectare, 1.4
Alte terenuri, Vaslui, Anul 1996, Mii hectare, 1.2
Alte terenuri, Vaslui, Anul 1997, Mii hectare, 1.4
Alte terenuri, Vaslui, Anul 1998, Mii hectare, 1.3
Alte terenuri, Vaslui, Anul 1999, Mii hectare, 1.4
Alte terenuri, Vaslui, Anul 2000, Mii hectare, 1.1
Alte terenuri, Vaslui, Anul 2001, Mii hectare, 1.3
Alte terenuri, Vaslui, Anul 2002, Mii hectare, 1.5
Alte terenuri, Vaslui, Anul 2003, Mii hectare, 1.3
Alte terenuri, Vaslui, Anul 2004, Mii hectare, 1.7
Alte terenuri, Vaslui, Anul 2005, Mii hectare, 1.4
Alte terenuri, Vaslui, Anul 2006, Mii hectare, 1.3
Alte terenuri, Vaslui, Anul 2007, Mii hectare, 1.3
Alte terenuri, Vaslui, Anul 2008, Mii hectare, 1.3
Alte terenuri, Vaslui, Anul 2009, Mii hectare, 1.2
Alte terenuri, Vaslui, Anul 2010, Mii hectare, 1.1
Alte terenuri, Vaslui, Anul 2011, Mii hectare, 1.1
Alte terenuri, Vaslui, Anul 2012, Mii hectare, 1.1
Alte terenuri, Vaslui, Anul 2013, Mii hectare, 1.1
Alte terenuri, Vaslui, Anul 2014, Mii hectare, 1.1
Alte terenuri, Vaslui, Anul 2015, Mii hectare, 1
Alte terenuri, Vaslui, Anul 2016, Mii hectare, 1.2
Alte terenuri, Vaslui, Anul 2017, Mii hectare, 1.3
Alte terenuri, Vaslui, Anul 2018, Mii hectare, 1.3
Alte terenuri, Vaslui, Anul 2019, Mii hectare, 1.5
Alte terenuri, Regiunea SUD-EST, Anul 1990, Mii hectare, 22
Alte terenuri, Regiunea SUD-EST, Anul 1991, Mii hectare, 21.4
Alte terenuri, Regiunea SUD-EST, Anul 1992, Mii hectare, 20.8
Alte terenuri, Regiunea SUD-EST, Anul 1993, Mii hectare, 22.8
Alte terenuri, Regiunea SUD-EST, Anul 1994, Mii hectare, 24.4
Alte terenuri, Regiunea SUD-EST, Anul 1995, Mii hectare, 24.8
Alte terenuri, Regiunea SUD-EST, Anul 1996, Mii hectare, 24.6
Alte terenuri, Regiunea SUD-EST, Anul 1997, Mii hectare, 27.4
Alte terenuri, Regiunea SUD-EST, Anul 1998, Mii hectare, 28.9
Alte terenuri, Regiunea SUD-EST, Anul 1999, Mii hectare, 27.9
Alte terenuri, Regiunea SUD-EST, Anul 2000, Mii hectare, 28.1
Alte terenuri, Regiunea SUD-EST, Anul 2001, Mii hectare, 27.4
Alte terenuri, Regiunea SUD-EST, Anul 2002, Mii hectare, 30.8
Alte terenuri, Regiunea SUD-EST, Anul 2003, Mii hectare, 28.6
Alte terenuri, Regiunea SUD-EST, Anul 2004, Mii hectare, 34.4
Alte terenuri, Regiunea SUD-EST, Anul 2005, Mii hectare, 33.9
Alte terenuri, Regiunea SUD-EST, Anul 2006, Mii hectare, 30.7
Alte terenuri, Regiunea SUD-EST, Anul 2007, Mii hectare, 30.4
Alte terenuri, Regiunea SUD-EST, Anul 2008, Mii hectare, 30.6
Alte terenuri, Regiunea SUD-EST, Anul 2009, Mii hectare, 30.6
Alte terenuri, Regiunea SUD-EST, Anul 2010, Mii hectare, 31.6
Alte terenuri, Regiunea SUD-EST, Anul 2011, Mii hectare, 30.7
Alte terenuri, Regiunea SUD-EST, Anul 2012, Mii hectare, 30.6
Alte terenuri, Regiunea SUD-EST, Anul 2013, Mii hectare, 29.9
Alte terenuri, Regiunea SUD-EST, Anul 2014, Mii hectare, 29.9
Alte terenuri, Regiunea SUD-EST, Anul 2015, Mii hectare, 29.2
Alte terenuri, Regiunea SUD-EST, Anul 2016, Mii hectare, 27.9
Alte terenuri, Regiunea SUD-EST, Anul 2017, Mii hectare, 27.2
Alte terenuri, Regiunea SUD-EST, Anul 2018, Mii hectare, 27.8
Alte terenuri, Regiunea SUD-EST, Anul 2019, Mii hectare, 27.4
Alte terenuri, Braila, Anul 1990, Mii hectare, 3.7
Alte terenuri, Braila, Anul 1991, Mii hectare, 3.8
Alte terenuri, Braila, Anul 1992, Mii hectare, 3.9
Alte terenuri, Braila, Anul 1993, Mii hectare, 4.5
Alte terenuri, Braila, Anul 1994, Mii hectare, 6
Alte terenuri, Braila, Anul 1995, Mii hectare, 6.2
Alte terenuri, Braila, Anul 1996, Mii hectare, 6
Alte terenuri, Braila, Anul 1997, Mii hectare, 5.7
Alte terenuri, Braila, Anul 1998, Mii hectare, 5.7
Alte terenuri, Braila, Anul 1999, Mii hectare, 5.3
Alte terenuri, Braila, Anul 2000, Mii hectare, 5.2
Alte terenuri, Braila, Anul 2001, Mii hectare, 4.7
Alte terenuri, Braila, Anul 2002, Mii hectare, 5.1
Alte terenuri, Braila, Anul 2003, Mii hectare, 4.4
Alte terenuri, Braila, Anul 2004, Mii hectare, 4.6
Alte terenuri, Braila, Anul 2005, Mii hectare, 4.4
Alte terenuri, Braila, Anul 2006, Mii hectare, 4.6
Alte terenuri, Braila, Anul 2007, Mii hectare, 4.4
Alte terenuri, Braila, Anul 2008, Mii hectare, 4.1
Alte terenuri, Braila, Anul 2009, Mii hectare, 4
Alte terenuri, Braila, Anul 2010, Mii hectare, 4.2
Alte terenuri, Braila, Anul 2011, Mii hectare, 3.8
Alte terenuri, Braila, Anul 2012, Mii hectare, 3.4
Alte terenuri, Braila, Anul 2013, Mii hectare, 3.2
Alte terenuri, Braila, Anul 2014, Mii hectare, 3.2
Alte terenuri, Braila, Anul 2015, Mii hectare, 3
Alte terenuri, Braila, Anul 2016, Mii hectare, 3.1
Alte terenuri, Braila, Anul 2017, Mii hectare, 3
Alte terenuri, Braila, Anul 2018, Mii hectare, 3.2
Alte terenuri, Braila, Anul 2019, Mii hectare, 3
Alte terenuri, Buzau, Anul 1990, Mii hectare, 2
Alte terenuri, Buzau, Anul 1991, Mii hectare, 2
Alte terenuri, Buzau, Anul 1992, Mii hectare, 2
Alte terenuri, Buzau, Anul 1993, Mii hectare, 2
Alte terenuri, Buzau, Anul 1994, Mii hectare, 2.3
Alte terenuri, Buzau, Anul 1995, Mii hectare, 2.4
Alte terenuri, Buzau, Anul 1996, Mii hectare, 2.6
Alte terenuri, Buzau, Anul 1997, Mii hectare, 2.8
Alte terenuri, Buzau, Anul 1998, Mii hectare, 2.7
Alte terenuri, Buzau, Anul 1999, Mii hectare, 2.8
Alte terenuri, Buzau, Anul 2000, Mii hectare, 2.9
Alte terenuri, Buzau, Anul 2001, Mii hectare, 2.8
Alte terenuri, Buzau, Anul 2002, Mii hectare, 2.7
Alte terenuri, Buzau, Anul 2003, Mii hectare, 2.7
Alte terenuri, Buzau, Anul 2004, Mii hectare, 2.6
Alte terenuri, Buzau, Anul 2005, Mii hectare, 2.8
Alte terenuri, Buzau, Anul 2006, Mii hectare, 2.7
Alte terenuri, Buzau, Anul 2007, Mii hectare, 2.8
Alte terenuri, Buzau, Anul 2008, Mii hectare, 2.4
Alte terenuri, Buzau, Anul 2009, Mii hectare, 2.3
Alte terenuri, Buzau, Anul 2010, Mii hectare, 2.3
Alte terenuri, Buzau, Anul 2011, Mii hectare, 2.5
Alte terenuri, Buzau, Anul 2012, Mii hectare, 2.6
Alte terenuri, Buzau, Anul 2013, Mii hectare, 2.6
Alte terenuri, Buzau, Anul 2014, Mii hectare, 2.6
Alte terenuri, Buzau, Anul 2015, Mii hectare, 2.5
Alte terenuri, Buzau, Anul 2016, Mii hectare, 2.6
Alte terenuri, Buzau, Anul 2017, Mii hectare, 2.6
Alte terenuri, Buzau, Anul 2018, Mii hectare, 2.7
Alte terenuri, Buzau, Anul 2019, Mii hectare, 2.8
Alte terenuri, Constanta, Anul 1990, Mii hectare, 1.9
Alte terenuri, Constanta, Anul 1991, Mii hectare, 2
Alte terenuri, Constanta, Anul 1992, Mii hectare, 2.1
Alte terenuri, Constanta, Anul 1993, Mii hectare, 2.9
Alte terenuri, Constanta, Anul 1994, Mii hectare, 2.7
Alte terenuri, Constanta, Anul 1995, Mii hectare, 2.7
Alte terenuri, Constanta, Anul 1996, Mii hectare, 2.7
Alte terenuri, Constanta, Anul 1997, Mii hectare, 3.6
Alte terenuri, Constanta, Anul 1998, Mii hectare, 5.2
Alte terenuri, Constanta, Anul 1999, Mii hectare, 5.1
Alte terenuri, Constanta, Anul 2000, Mii hectare, 5.2
Alte terenuri, Constanta, Anul 2001, Mii hectare, 5
Alte terenuri, Constanta, Anul 2002, Mii hectare, 4.9
Alte terenuri, Constanta, Anul 2003, Mii hectare, 4.6
Alte terenuri, Constanta, Anul 2004, Mii hectare, 8.4
Alte terenuri, Constanta, Anul 2005, Mii hectare, 7.8
Alte terenuri, Constanta, Anul 2006, Mii hectare, 5.3
Alte terenuri, Constanta, Anul 2007, Mii hectare, 5
Alte terenuri, Constanta, Anul 2008, Mii hectare, 5.2
Alte terenuri, Constanta, Anul 2009, Mii hectare, 5.3
Alte terenuri, Constanta, Anul 2010, Mii hectare, 5.6
Alte terenuri, Constanta, Anul 2011, Mii hectare, 5.5
Alte terenuri, Constanta, Anul 2012, Mii hectare, 5.1
Alte terenuri, Constanta, Anul 2013, Mii hectare, 4.9
Alte terenuri, Constanta, Anul 2014, Mii hectare, 5
Alte terenuri, Constanta, Anul 2015, Mii hectare, 5
Alte terenuri, Constanta, Anul 2016, Mii hectare, 4.8
Alte terenuri, Constanta, Anul 2017, Mii hectare, 4.8
Alte terenuri, Constanta, Anul 2018, Mii hectare, 4.8
Alte terenuri, Constanta, Anul 2019, Mii hectare, 4.7
Alte terenuri, Galati, Anul 1990, Mii hectare, 1.7
Alte terenuri, Galati, Anul 1991, Mii hectare, 1.5
Alte terenuri, Galati, Anul 1992, Mii hectare, 1.6
Alte terenuri, Galati, Anul 1993, Mii hectare, 1.5
Alte terenuri, Galati, Anul 1994, Mii hectare, 1.4
Alte terenuri, Galati, Anul 1995, Mii hectare, 1.9
Alte terenuri, Galati, Anul 1996, Mii hectare, 1.8
Alte terenuri, Galati, Anul 1997, Mii hectare, 2.5
Alte terenuri, Galati, Anul 1998, Mii hectare, 2.4
Alte terenuri, Galati, Anul 1999, Mii hectare, 2.1
Alte terenuri, Galati, Anul 2000, Mii hectare, 2
Alte terenuri, Galati, Anul 2001, Mii hectare, 2
Alte terenuri, Galati, Anul 2002, Mii hectare, 2.7
Alte terenuri, Galati, Anul 2003, Mii hectare, 2.3
Alte terenuri, Galati, Anul 2004, Mii hectare, 2.2
Alte terenuri, Galati, Anul 2005, Mii hectare, 2.2
Alte terenuri, Galati, Anul 2006, Mii hectare, 1.9
Alte terenuri, Galati, Anul 2007, Mii hectare, 1.9
Alte terenuri, Galati, Anul 2008, Mii hectare, 2
Alte terenuri, Galati, Anul 2009, Mii hectare, 1.8
Alte terenuri, Galati, Anul 2010, Mii hectare, 1.9
Alte terenuri, Galati, Anul 2011, Mii hectare, 1.7
Alte terenuri, Galati, Anul 2012, Mii hectare, 1.8
Alte terenuri, Galati, Anul 2013, Mii hectare, 1.8
Alte terenuri, Galati, Anul 2014, Mii hectare, 1.9
Alte terenuri, Galati, Anul 2015, Mii hectare, 1.8
Alte terenuri, Galati, Anul 2016, Mii hectare, 1.8
Alte terenuri, Galati, Anul 2017, Mii hectare, 1.8
Alte terenuri, Galati, Anul 2018, Mii hectare, 1.8
Alte terenuri, Galati, Anul 2019, Mii hectare, 1.6
Alte terenuri, Tulcea, Anul 1990, Mii hectare, 8.3
Alte terenuri, Tulcea, Anul 1991, Mii hectare, 7.8
Alte terenuri, Tulcea, Anul 1992, Mii hectare, 7.7
Alte terenuri, Tulcea, Anul 1993, Mii hectare, 8
Alte terenuri, Tulcea, Anul 1994, Mii hectare, 8.1
Alte terenuri, Tulcea, Anul 1995, Mii hectare, 8
Alte terenuri, Tulcea, Anul 1996, Mii hectare, 8
Alte terenuri, Tulcea, Anul 1997, Mii hectare, 9.3
Alte terenuri, Tulcea, Anul 1998, Mii hectare, 9.3
Alte terenuri, Tulcea, Anul 1999, Mii hectare, 9.1
Alte terenuri, Tulcea, Anul 2000, Mii hectare, 9.3
Alte terenuri, Tulcea, Anul 2001, Mii hectare, 9.3
Alte terenuri, Tulcea, Anul 2002, Mii hectare, 11.7
Alte terenuri, Tulcea, Anul 2003, Mii hectare, 11
Alte terenuri, Tulcea, Anul 2004, Mii hectare, 12.5
Alte terenuri, Tulcea, Anul 2005, Mii hectare, 12.7
Alte terenuri, Tulcea, Anul 2006, Mii hectare, 12.4
Alte terenuri, Tulcea, Anul 2007, Mii hectare, 12.5
Alte terenuri, Tulcea, Anul 2008, Mii hectare, 12.8
Alte terenuri, Tulcea, Anul 2009, Mii hectare, 13
Alte terenuri, Tulcea, Anul 2010, Mii hectare, 12.8
Alte terenuri, Tulcea, Anul 2011, Mii hectare, 12.6
Alte terenuri, Tulcea, Anul 2012, Mii hectare, 12.6
Alte terenuri, Tulcea, Anul 2013, Mii hectare, 12.7
Alte terenuri, Tulcea, Anul 2014, Mii hectare, 12.5
Alte terenuri, Tulcea, Anul 2015, Mii hectare, 12.3
Alte terenuri, Tulcea, Anul 2016, Mii hectare, 11.4
Alte terenuri, Tulcea, Anul 2017, Mii hectare, 11.1
Alte terenuri, Tulcea, Anul 2018, Mii hectare, 11.2
Alte terenuri, Tulcea, Anul 2019, Mii hectare, 11.3
Alte terenuri, Vrancea, Anul 1990, Mii hectare, 4.4
Alte terenuri, Vrancea, Anul 1991, Mii hectare, 4.3
Alte terenuri, Vrancea, Anul 1992, Mii hectare, 3.5
Alte terenuri, Vrancea, Anul 1993, Mii hectare, 3.9
Alte terenuri, Vrancea, Anul 1994, Mii hectare, 3.9
Alte terenuri, Vrancea, Anul 1995, Mii hectare, 3.6
Alte terenuri, Vrancea, Anul 1996, Mii hectare, 3.5
Alte terenuri, Vrancea, Anul 1997, Mii hectare, 3.5
Alte terenuri, Vrancea, Anul 1998, Mii hectare, 3.6
Alte terenuri, Vrancea, Anul 1999, Mii hectare, 3.5
Alte terenuri, Vrancea, Anul 2000, Mii hectare, 3.5
Alte terenuri, Vrancea, Anul 2001, Mii hectare, 3.6
Alte terenuri, Vrancea, Anul 2002, Mii hectare, 3.7
Alte terenuri, Vrancea, Anul 2003, Mii hectare, 3.6
Alte terenuri, Vrancea, Anul 2004, Mii hectare, 4.1
Alte terenuri, Vrancea, Anul 2005, Mii hectare, 4
Alte terenuri, Vrancea, Anul 2006, Mii hectare, 3.8
Alte terenuri, Vrancea, Anul 2007, Mii hectare, 3.8
Alte terenuri, Vrancea, Anul 2008, Mii hectare, 4.1
Alte terenuri, Vrancea, Anul 2009, Mii hectare, 4.2
Alte terenuri, Vrancea, Anul 2010, Mii hectare, 4.8
Alte terenuri, Vrancea, Anul 2011, Mii hectare, 4.6
Alte terenuri, Vrancea, Anul 2012, Mii hectare, 5.1
Alte terenuri, Vrancea, Anul 2013, Mii hectare, 4.7
Alte terenuri, Vrancea, Anul 2014, Mii hectare, 4.7
Alte terenuri, Vrancea, Anul 2015, Mii hectare, 4.6
Alte terenuri, Vrancea, Anul 2016, Mii hectare, 4.2
Alte terenuri, Vrancea, Anul 2017, Mii hectare, 3.9
Alte terenuri, Vrancea, Anul 2018, Mii hectare, 4.1
Alte terenuri, Vrancea, Anul 2019, Mii hectare, 4
Alte terenuri, MACROREGIUNEA TREI, Anul 1990, Mii hectare, 15
Alte terenuri, MACROREGIUNEA TREI, Anul 1991, Mii hectare, 14.5
Alte terenuri, MACROREGIUNEA TREI, Anul 1992, Mii hectare, 15
Alte terenuri, MACROREGIUNEA TREI, Anul 1993, Mii hectare, 17.4
Alte terenuri, MACROREGIUNEA TREI, Anul 1994, Mii hectare, 19.3
Alte terenuri, MACROREGIUNEA TREI, Anul 1995, Mii hectare, 19.1
Alte terenuri, MACROREGIUNEA TREI, Anul 1996, Mii hectare, 18.9
Alte terenuri, MACROREGIUNEA TREI, Anul 1997, Mii hectare, 19
Alte terenuri, MACROREGIUNEA TREI, Anul 1998, Mii hectare, 19.6
Alte terenuri, MACROREGIUNEA TREI, Anul 1999, Mii hectare, 19.8
Alte terenuri, MACROREGIUNEA TREI, Anul 2000, Mii hectare, 20.7
Alte terenuri, MACROREGIUNEA TREI, Anul 2001, Mii hectare, 20.4
Alte terenuri, MACROREGIUNEA TREI, Anul 2002, Mii hectare, 19.2
Alte terenuri, MACROREGIUNEA TREI, Anul 2003, Mii hectare, 20.2
Alte terenuri, MACROREGIUNEA TREI, Anul 2004, Mii hectare, 20
Alte terenuri, MACROREGIUNEA TREI, Anul 2005, Mii hectare, 20.3
Alte terenuri, MACROREGIUNEA TREI, Anul 2006, Mii hectare, 21.2
Alte terenuri, MACROREGIUNEA TREI, Anul 2007, Mii hectare, 20.6
Alte terenuri, MACROREGIUNEA TREI, Anul 2008, Mii hectare, 20
Alte terenuri, MACROREGIUNEA TREI, Anul 2009, Mii hectare, 20.2
Alte terenuri, MACROREGIUNEA TREI, Anul 2010, Mii hectare, 19.9
Alte terenuri, MACROREGIUNEA TREI, Anul 2011, Mii hectare, 19.2
Alte terenuri, MACROREGIUNEA TREI, Anul 2012, Mii hectare, 19.5
Alte terenuri, MACROREGIUNEA TREI, Anul 2013, Mii hectare, 19.2
Alte terenuri, MACROREGIUNEA TREI, Anul 2014, Mii hectare, 19.3
Alte terenuri, MACROREGIUNEA TREI, Anul 2015, Mii hectare, 17.9
Alte terenuri, MACROREGIUNEA TREI, Anul 2016, Mii hectare, 18.1
Alte terenuri, MACROREGIUNEA TREI, Anul 2017, Mii hectare, 18.3
Alte terenuri, MACROREGIUNEA TREI, Anul 2018, Mii hectare, 18.5
Alte terenuri, MACROREGIUNEA TREI, Anul 2019, Mii hectare, 18.2
Alte terenuri, Regiunea SUD-MUNTENIA, Anul 1990, Mii hectare, 14.1
Alte terenuri, Regiunea SUD-MUNTENIA, Anul 1991, Mii hectare, 13.9
Alte terenuri, Regiunea SUD-MUNTENIA, Anul 1992, Mii hectare, 14.1
Alte terenuri, Regiunea SUD-MUNTENIA, Anul 1993, Mii hectare, 16.1
Alte terenuri, Regiunea SUD-MUNTENIA, Anul 1994, Mii hectare, 17.9
Alte terenuri, Regiunea SUD-MUNTENIA, Anul 1995, Mii hectare, 17.7
Alte terenuri, Regiunea SUD-MUNTENIA, Anul 1996, Mii hectare, 17.5
Alte terenuri, Regiunea SUD-MUNTENIA, Anul 1997, Mii hectare, 17.3
Alte terenuri, Regiunea SUD-MUNTENIA, Anul 1998, Mii hectare, 17.9
