Categorii de terenuri si specii de paduri, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii hectare, Valoare
Total, Salaj, Anul 1996, Mii hectare, 95.4
Total, Salaj, Anul 1997, Mii hectare, 95.4
Total, Salaj, Anul 1998, Mii hectare, 95.4
Total, Salaj, Anul 1999, Mii hectare, 95.4
Total, Salaj, Anul 2000, Mii hectare, 95.6
Total, Salaj, Anul 2001, Mii hectare, 95.6
Total, Salaj, Anul 2002, Mii hectare, 95.6
Total, Salaj, Anul 2003, Mii hectare, 95.5
Total, Salaj, Anul 2004, Mii hectare, 95.5
Total, Salaj, Anul 2005, Mii hectare, 95.2
Total, Salaj, Anul 2006, Mii hectare, 95.9
Total, Salaj, Anul 2007, Mii hectare, 95.9
Total, Salaj, Anul 2008, Mii hectare, 95.9
Total, Salaj, Anul 2009, Mii hectare, 95.9
Total, Salaj, Anul 2010, Mii hectare, 95.9
Total, Salaj, Anul 2011, Mii hectare, 95.9
Total, Salaj, Anul 2012, Mii hectare, 95.8
Total, Salaj, Anul 2013, Mii hectare, 95.9
Total, Salaj, Anul 2014, Mii hectare, 95.9
Total, Salaj, Anul 2015, Mii hectare, 95.9
Total, Salaj, Anul 2016, Mii hectare, 95.9
Total, Salaj, Anul 2017, Mii hectare, 95.9
Total, Salaj, Anul 2018, Mii hectare, 95.9
Total, Salaj, Anul 2019, Mii hectare, 95.9
Total, Regiunea CENTRU, Anul 1990, Mii hectare, 1185.1
Total, Regiunea CENTRU, Anul 1991, Mii hectare, 1185.2
Total, Regiunea CENTRU, Anul 1992, Mii hectare, 1185.6
Total, Regiunea CENTRU, Anul 1993, Mii hectare, 1184.5
Total, Regiunea CENTRU, Anul 1994, Mii hectare, 1184.6
Total, Regiunea CENTRU, Anul 1995, Mii hectare, 1184.3
Total, Regiunea CENTRU, Anul 1996, Mii hectare, 1184.8
Total, Regiunea CENTRU, Anul 1997, Mii hectare, 1184.8
Total, Regiunea CENTRU, Anul 1998, Mii hectare, 1184.9
Total, Regiunea CENTRU, Anul 1999, Mii hectare, 1185
Total, Regiunea CENTRU, Anul 2000, Mii hectare, 1185.2
Total, Regiunea CENTRU, Anul 2001, Mii hectare, 1185.1
Total, Regiunea CENTRU, Anul 2002, Mii hectare, 1180.6
Total, Regiunea CENTRU, Anul 2003, Mii hectare, 1184.2
Total, Regiunea CENTRU, Anul 2004, Mii hectare, 1187
Total, Regiunea CENTRU, Anul 2005, Mii hectare, 1190.4
Total, Regiunea CENTRU, Anul 2006, Mii hectare, 1226.8
Total, Regiunea CENTRU, Anul 2007, Mii hectare, 1264.5
Total, Regiunea CENTRU, Anul 2008, Mii hectare, 1252.4
Total, Regiunea CENTRU, Anul 2009, Mii hectare, 1257.3
Total, Regiunea CENTRU, Anul 2010, Mii hectare, 1255.6
Total, Regiunea CENTRU, Anul 2011, Mii hectare, 1259.6
Total, Regiunea CENTRU, Anul 2012, Mii hectare, 1259.9
Total, Regiunea CENTRU, Anul 2013, Mii hectare, 1264
Total, Regiunea CENTRU, Anul 2014, Mii hectare, 1265.2
Total, Regiunea CENTRU, Anul 2015, Mii hectare, 1263.4
Total, Regiunea CENTRU, Anul 2016, Mii hectare, 1263.7
Total, Regiunea CENTRU, Anul 2017, Mii hectare, 1265.1
Total, Regiunea CENTRU, Anul 2018, Mii hectare, 1269.1
Total, Regiunea CENTRU, Anul 2019, Mii hectare, 1270.2
Total, Alba, Anul 1990, Mii hectare, 206.9
Total, Alba, Anul 1991, Mii hectare, 206.9
Total, Alba, Anul 1992, Mii hectare, 206.8
Total, Alba, Anul 1993, Mii hectare, 206.5
Total, Alba, Anul 1994, Mii hectare, 206.6
Total, Alba, Anul 1995, Mii hectare, 206.9
Total, Alba, Anul 1996, Mii hectare, 207.1
Total, Alba, Anul 1997, Mii hectare, 207
Total, Alba, Anul 1998, Mii hectare, 207
Total, Alba, Anul 1999, Mii hectare, 207
Total, Alba, Anul 2000, Mii hectare, 207.1
Total, Alba, Anul 2001, Mii hectare, 207.1
Total, Alba, Anul 2002, Mii hectare, 206.9
Total, Alba, Anul 2003, Mii hectare, 206.1
Total, Alba, Anul 2004, Mii hectare, 206.1
Total, Alba, Anul 2005, Mii hectare, 206.1
Total, Alba, Anul 2006, Mii hectare, 206.3
Total, Alba, Anul 2007, Mii hectare, 206.8
Total, Alba, Anul 2008, Mii hectare, 206.9
Total, Alba, Anul 2009, Mii hectare, 206.4
Total, Alba, Anul 2010, Mii hectare, 206.3
Total, Alba, Anul 2011, Mii hectare, 206.6
Total, Alba, Anul 2012, Mii hectare, 206.1
Total, Alba, Anul 2013, Mii hectare, 206.2
Total, Alba, Anul 2014, Mii hectare, 206.5
Total, Alba, Anul 2015, Mii hectare, 203.7
Total, Alba, Anul 2016, Mii hectare, 203.9
Total, Alba, Anul 2017, Mii hectare, 204.3
Total, Alba, Anul 2018, Mii hectare, 206.8
Total, Alba, Anul 2019, Mii hectare, 206.9
Total, Brasov, Anul 1990, Mii hectare, 190.2
Total, Brasov, Anul 1991, Mii hectare, 190.1
Total, Brasov, Anul 1992, Mii hectare, 190.1
Total, Brasov, Anul 1993, Mii hectare, 190.1
Total, Brasov, Anul 1994, Mii hectare, 190.2
Total, Brasov, Anul 1995, Mii hectare, 189.7
Total, Brasov, Anul 1996, Mii hectare, 189.9
Total, Brasov, Anul 1997, Mii hectare, 189.9
Total, Brasov, Anul 1998, Mii hectare, 190
Total, Brasov, Anul 1999, Mii hectare, 190
Total, Brasov, Anul 2000, Mii hectare, 190
Total, Brasov, Anul 2001, Mii hectare, 190.1
Total, Brasov, Anul 2002, Mii hectare, 190.6
Total, Brasov, Anul 2003, Mii hectare, 190.2
Total, Brasov, Anul 2004, Mii hectare, 190.1
Total, Brasov, Anul 2005, Mii hectare, 190.2
Total, Brasov, Anul 2006, Mii hectare, 197.7
Total, Brasov, Anul 2007, Mii hectare, 202.9
Total, Brasov, Anul 2008, Mii hectare, 202.9
Total, Brasov, Anul 2009, Mii hectare, 204.3
Total, Brasov, Anul 2010, Mii hectare, 204.3
Total, Brasov, Anul 2011, Mii hectare, 204.4
Total, Brasov, Anul 2012, Mii hectare, 204.7
Total, Brasov, Anul 2013, Mii hectare, 205
Total, Brasov, Anul 2014, Mii hectare, 205
Total, Brasov, Anul 2015, Mii hectare, 205.2
Total, Brasov, Anul 2016, Mii hectare, 205.2
Total, Brasov, Anul 2017, Mii hectare, 205.1
Total, Brasov, Anul 2018, Mii hectare, 205.2
Total, Brasov, Anul 2019, Mii hectare, 205.2
Total, Covasna, Anul 1990, Mii hectare, 162.1
Total, Covasna, Anul 1991, Mii hectare, 162.1
Total, Covasna, Anul 1992, Mii hectare, 162.4
Total, Covasna, Anul 1993, Mii hectare, 161.7
Total, Covasna, Anul 1994, Mii hectare, 162
Total, Covasna, Anul 1995, Mii hectare, 162.2
Total, Covasna, Anul 1996, Mii hectare, 161.9
Total, Covasna, Anul 1997, Mii hectare, 162
Total, Covasna, Anul 1998, Mii hectare, 161.9
Total, Covasna, Anul 1999, Mii hectare, 161.9
Total, Covasna, Anul 2000, Mii hectare, 161.9
Total, Covasna, Anul 2001, Mii hectare, 161.7
Total, Covasna, Anul 2002, Mii hectare, 161
Total, Covasna, Anul 2003, Mii hectare, 161.8
Total, Covasna, Anul 2004, Mii hectare, 161.2
Total, Covasna, Anul 2005, Mii hectare, 161.4
Total, Covasna, Anul 2006, Mii hectare, 162.4
Total, Covasna, Anul 2007, Mii hectare, 175.1
Total, Covasna, Anul 2008, Mii hectare, 162.6
Total, Covasna, Anul 2009, Mii hectare, 168.7
Total, Covasna, Anul 2010, Mii hectare, 167.2
Total, Covasna, Anul 2011, Mii hectare, 170.2
Total, Covasna, Anul 2012, Mii hectare, 170.2
Total, Covasna, Anul 2013, Mii hectare, 171.3
Total, Covasna, Anul 2014, Mii hectare, 171.3
Total, Covasna, Anul 2015, Mii hectare, 171.4
Total, Covasna, Anul 2016, Mii hectare, 171.5
Total, Covasna, Anul 2017, Mii hectare, 171.4
Total, Covasna, Anul 2018, Mii hectare, 171.4
Total, Covasna, Anul 2019, Mii hectare, 171.4
